title,normal_price,promotion_price,source,product_link
Goldair Fan Heater Upright,R 299,"R 249,00",Builders,https://www.google.com/shopping/product/9484063118576883197?gl=za
Alva Electric Quartz Heater 800W,R 299,"R 249,00",Game,https://www.google.com/shopping/product/17445559663214537192?gl=za
500W Fan Heater Vertical Household Electric Heater PTC Ceramic Space Heater,"R 309,00",,takealot.com,https://www.google.com/shopping/product/13965955360502448643?gl=za
Kambrook Tower Fan Heater,R 1 099,"R 879,00",Clicks,https://www.google.com/shopping/product/12160189094312820749?gl=za
Delonghi Ceramic Fan Heater,"R 749,99",,Hirsch's Homestore,https://www.google.com/shopping/product/17870544889378121111?gl=za
Goldair Fan Heater GFH-2000A,"R 299,00",,Builders,https://www.google.com/shopping/product/15906523895044574696?gl=za
Alva Electric Quartz Heater 800w,"R 180,00",,Fair Price,https://www.google.com/shopping/product/13240236577172485836?gl=za
Russell Hobbs Ceramic Tower Heater,R 1 999,"R 1 699,00",takealot.com,https://www.google.com/shopping/product/13429943607261222993?gl=za
Goldair Halogen Heater 3 Bar,"R 349,99",,Dis-Chem,https://www.google.com/shopping/product/2004341665934569425?gl=za
Milex Infrared Heater,R 2 299,"R 2 199,00",Game,https://www.google.com/shopping/product/2496659570536319359?gl=za
Mr Price Home - Salton 3 Bar Heater,"R 799,99",,Mr Price Home,https://www.google.com/shopping/product/9586008331985583375?gl=za
Alva Electric Convection Heater,"R 679,00",,takealot.com,https://www.google.com/shopping/product/12733570943395592168?gl=za
Amaze Solo Panel Heater,R 749,"R 649,00",Builders,https://www.google.com/shopping/product/4270058524367816877?gl=za
Xiaomi Desktop Heater – PTC Ceramic Heating,"R 899,00",,Incredible,https://www.google.com/shopping/product/9516276175447228976?gl=za
Condere - Convector Heater 1000W - ZR-6011,"R 539,00",,Makro,https://www.google.com/shopping/product/4553193750814501573?gl=za
Delonghi Slim Style Convector Heater,"R 1 099,00",,takealot.com,https://www.google.com/shopping/product/7097737324409970289?gl=za
ALVA Electric Convection Heater,"R 699,00",,HiFi Corp,https://www.google.com/shopping/product/17214421618156840029?gl=za
Alva 3 Panel Gas Heater,R 1 499,"R 1 299,00",Game,https://www.google.com/shopping/product/8337882910647711482?gl=za
Salton Panel Heater,"R 799,99",,Hirsch's Homestore,https://www.google.com/shopping/product/4157865169502767913?gl=za
Safeway Fan Heater,R 379,"R 299,00",Clicks,https://www.google.com/shopping/product/9299944686260706132?gl=za
Taurus Hibrido Electric & Gas Heater,R 2 999,"R 1 299,00",takealot.com,https://www.google.com/shopping/product/1029345928263269907?gl=za
Russell Hobbs 3 Panel Gas Heater RHGH02,"R 2 399,00",,Russell Hobbs,https://www.google.com/shopping/product/10331179186891046231?gl=za
Elegance Foldable Gas Heater RY10-04E,R 1 699,"R 1 399,00",Incredible,https://www.google.com/shopping/product/3719395641389924171?gl=za
Alva Electric Halogen Heater 1200W,"R 549,00",,HiFi Corp,https://www.google.com/shopping/product/17944886732496908496?gl=za
Alva Infrared Radiant Gas & Electric Dual Indoor Heater,R 1 899,"R 1 599,00",Game,https://www.google.com/shopping/product/9940393745306175475?gl=za
LUXELL 3 Bar Heater with Safety Switch,"R 339,00",,takealot.com,https://www.google.com/shopping/product/17225075893863257591?gl=za
Goldair Panel Heater,"R 799,00",,Builders,https://www.google.com/shopping/product/9068869503920399199?gl=za
Mellerware 1500W 7 Fin Oil Filled Heater 3 Heat Settings,"R 890,00",,Amazon.co.za,https://www.google.com/shopping/product/11013950360656603944?gl=za
Homestar 2 Bar Quartz Heater,"R 150,00",,Fair Price,https://www.google.com/shopping/product/1?gl=za&prds=pid:18021091461117224124
Tristar KA-5009 - Heater - mobile - 800 W - White,"R 284,00",,takealot.com,https://www.google.com/shopping/product/12298120998333945027?gl=za
Kambrook Convection Heater,R 1 249,"R 999,00",Clicks,https://www.google.com/shopping/product/1415692594774672002?gl=za
Cadac Compact Gas Heater,R 1 299,"R 999,00",Game,https://www.google.com/shopping/product/4553400952228924650?gl=za
Mill 2000W Instant Led Portable Heater,"R 2 899,99",,Hirsch's Homestore,https://www.google.com/shopping/product/6480659664621549874?gl=za
Portable Infrared Gas Heater,"R 258,00",,takealot.com,https://www.google.com/shopping/product/5694116200436946057?gl=za
Swan Nordic Horizontal/Vertical Fan Heater,"R 399,00",,HiFi Corp,https://www.google.com/shopping/product/18136211095458252871?gl=za
Solo Smart Energy Effficient Wall Heater,R 899,"R 849,00",Builders,https://www.google.com/shopping/product/11859872956362000758?gl=za
Elektra Classic Fan Heater,"R 229,90",,Cash Crusaders,https://www.google.com/shopping/product/8641356545199229492?gl=za
Delonghi Vertical Fan Heater,R 649,"R 569,00",takealot.com,https://www.google.com/shopping/product/389467416308887127?gl=za
Goldair Fan Heater,R 549,"R 449,00",Game,https://www.google.com/shopping/product/10629267363322101955?gl=za
Condere Quartz Heater with Humidifier,"R 828,97",,Makro,https://www.google.com/shopping/product/5279315495786375162?gl=za
